Nome,Email,Tarefas Concluídas,Tarefas Não Concluídas,Porcentagem Concluída,Produtividade
Leanne Graham,Sincere@april.biz,11,9,55,Nao
Ervin Howell,Shanna@melissa.tv,8,12,40,Nao
Clementine Bauch,Nathan@yesenia.net,7,13,35,Nao
Patricia Lebsack,Julianne.OConner@kory.org,6,14,30,Nao
Chelsey Dietrich,Lucio_Hettinger@annie.ca,12,8,60,Sim
Mrs. Dennis Schulist,Karley_Dach@jasper.info,6,14,30,Nao
Kurtis Weissnat,Telly.Hoeger@billy.biz,9,11,45,Nao
Nicholas Runolfsdottir V,Sherwood@rosamond.me,11,9,55,Nao
Glenna Reichert,Chaim_McDermott@dana.io,8,12,40,Nao
Clementina DuBuque,Rey.Padberg@karina.biz,12,8,60,Sim
